Conver,Conver,corr,corr,Diction,Diction,DisVoice,DisVoice,LIWC,LIWC,OpenSmile,OpenSmile
Interrupt,0.0023050761362058267,F83_affectby_F11,1.162485358462847e-06,Collectives,0.00013746568091002858,BBEoff6_std,0.00034014910504532426,percept,6.833673318973316e-06,mfcc_sma_de[9]_quartile2_std,2.8319896887685156e-06
Speech Gap,0.002734007214133586,F35_affectby_F88,1.4400137734521685e-06,Optimism,0.0007193130668110895,apq_sk,0.0003604874176205924,compare,1.8309039638951708e-05,pcm_intensity_sma_minPos_std,8.164742308713465e-06
Speaking,0.009884038282389948,F83_affectby_F88,1.8077787192048283e-06,Familiarity,0.001822303538020071,MFCCon9_mean,0.00039998977143419084,prep,6.122131597102757e-05,pcm_loudness_sma_minPos_std,8.763693389828157e-06
Mutual Silence,0.015058732885963207,F35_affectby_F16,2.4044477480064152e-06,Accomplishment,0.0018598964053267648,BBEoff15_sk,0.0005200702804946602,feel,0.00019495303301796444,mfcc_sma_de[9]_amean_std,8.763693389828157e-06
Response Time,0.024729480089680803,F62_affectby_F88,2.4044477480065613e-06,Ambivalence,0.0037987028487406213,MFCCon11_sk,0.0005953239372963873,affiliation,0.0004970240039701997,pcm_intensity_sma_maxPos_std,1.1769653826388208e-05
Turn Duration,0.03937545576679905,F70_affectby_F88,4.8021653330784055e-06,Average Word Size,0.004944109299152002,MFCCon11_std,0.0007193973514349636,death,0.0008281673212623846,mfcc_sma[9]_maxPos_std,1.9336441655735654e-05
Difference Turn,0.05403716352298435,F61_affectby_F88,5.878629954555346e-06,Praise,0.00520394147367471,logE_sk,0.0008210075850887165,drives,0.0009772551890735587,F0env_sma_skewness_std,2.6751756696825996e-05
Difference Speaking,0.07446926510199574,F25_affectby_F16,6.5937195666671936e-06,Communication,0.006296134475413216,BBEoff10_std,0.0008862726537737558,relig,0.0015645968791464895,mfcc_sma[9]_linregc1_std,3.312136903548239e-05
Speaking Rate,0.14805852107751638,F21_affectby_F16,9.272857833707835e-06,Tenacity,0.010741362203085308,PR,0.0010204052292891866,dic,0.0016433676331914415,pcm_intensity_sma_de_minPos_mean,3.58623482177852e-05
Speaking Interject,0.45291751959743276,F21_affectby_F19,1.510751147796937e-05,Liberation,0.012050877005482455,BBEoff6_sk,0.0010314648830749642,ipron,0.002328426245861499,mfcc_sma[12]_range_mean,5.814731520950294e-05
Interject,0.4884196398365577,F25_affectby_F15,1.709780581155147e-05,Rapport,0.018767005818639,VU,0.0010768220377309129,discrep,0.003019143447913053,mfcc_sma_de[11]_min_max,6.043913524365464e-05
Failed Interrupt,0.5233773985866508,F83_affectby_F15,1.709780581155147e-05,Complexity,0.028529164351454143,VVU,0.0010768220377309129,sixltr,0.0035495973221370374,mfcc_sma_de[12]_quartile2_std,6.281630730229283e-05
Natural Turn,0.6182391262011433,F11_affectby_F20,1.85609018996095e-05,Centrality,0.029855293392916427,UVU,0.0010768220377309129,time,0.0037992321955724593,mfcc_sma[12]_iqr1-2_mean,6.444997109964397e-05
Overlap,0.9177122192209294,F16_affectby_F19,1.9336441655735654e-05,Denial,0.03314568195617484,Silrate,0.0011361122131138364,tentat,0.004284969915333176,mfcc_sma[12]_iqr1-3_mean,7.049015393473724e-05
,,F25_affectby_F88,2.2150584084601787e-05,Temporal Terms,0.036819654111923256,Vrate,0.001160662210280468,cogproc,0.004284969915333176,F0_sma_quartile1_mean,7.049015393473724e-05
,,F61_affectby_F16,2.2150584084601787e-05,Aggression,0.049848521404197536,DMFCCon2_ku,0.0012909326882909198,auxverb,0.004780856015025365,mfcc_sma[9]_iqr1-2_mean,7.139554847562028e-05
,,F67_affectby_F16,2.2758353052751508e-05,Diversity,0.051961709575632654,BBEoff8_ku,0.0015277050759913175,see,0.00503594209717507,mfcc_sma[12]_stddev_mean,7.139554847562028e-05
,,F15_affectby_F20,2.535186316774164e-05,Realism,0.062285826588495706,BBEoff6_ku,0.0016953610690754726,hear,0.006328047144363423,lspFreq_sma[0]_skewness_mean,7.80481992923324e-05
,,F16_affectby_F20,2.5695155106578654e-05,Spatial Terms,0.08625371055681758,DMFCCon2_sk,0.0021690510089445716,negate,0.008164418956630014,mfcc_sma_de[9]_quartile1_std,8.005404784575862e-05
,,F81_affectby_F16,2.7113046569749765e-05,Certainty,0.08739612181598261,BBEoff6_mean,0.0036018322355560162,i,0.012821101451578366,F0_sma_min_mean,9.552092919345798e-05
,,F83_affectby_F14,2.8605135860796474e-05,Commonality,0.1130106536282245,BBEoff9_mean,0.0036725152534481573,bio,0.013209613560480492,F0env_sma_de_skewness_std,0.00010043377440746409
,,F11_affectby_F16,2.9380139126410445e-05,Concreteness,0.13529504306746404,MFCCoff2_sk,0.0037809065150638844,ppron,0.016781498299537255,mfcc_sma[9]_stddev_mean,0.00010297872659375611
,,F61_affectby_F67,3.182667797701431e-05,Cooperation,0.14440399581364952,MFCCoff1_std,0.003854774030504813,we,0.020236065376884743,mfcc_sma[9]_range_mean,0.00010297872659375611
,,F88_affectby_F20,3.225280321890543e-05,Satisfaction,0.15668204273316091,DDMFCCon5_std,0.003929950302245831,family,0.021864773480158806,F0_sma_quartile2_mean,0.00010427391076207864
,,F14_affectby_F20,3.58623482177852e-05,Passivity,0.2150186769936753,DDMFCCon5_mean,0.004006455692566127,work,0.024535332549009917,mfcc_sma_de[12]_amean_std,0.00010427391076207864
,,F79_affectby_F16,3.58623482177852e-05,Self-reference,0.22475715910841448,MFCCon8_std,0.004668877738550083,home,0.02833421322725373,mfcc_sma_de[10]_min_min,0.00010960998084805428
,,F35_affectby_F15,3.6822918912557294e-05,Insistence,0.24634657498174906,avgdurs,0.005180219262655288,money,0.039228857263418564,pcm_intensity_sma_skewness_std,0.00010960998084805428
,,F81_affectby_F19,3.731231610577944e-05,Human Interest,0.3248380568168009,avgdurv,0.005378362626604747,leisure,0.0392303963504268,pcm_loudness_sma_maxPos_std,0.00011098369460704998
,,F21_affectby_F20,3.8817825998776645e-05,Leveling Terms,0.3555450767916578,BBEon22_std,0.005428955962052836,certain,0.043939947590194435,mfcc_sma[9]_iqr1-3_mean,0.00011237363815485001
,,F67_affectby_F19,3.9332348675197915e-05,Activity,0.4547388710984194,MFCCon10_mean,0.005531433599204582,adverb,0.04458131581302716,mfcc_sma_de[12]_iqr1-2_mean,0.0001225729225953289
,,F15_affectby_F16,3.9853339717313016e-05,Present Concern,0.49415564489376684,DMFCCoff6_mean,0.005959027775655821,body,0.045475300800424674,mfcc_sma[9]_linregc2_std,0.00012720594627284253
,,F15_affectby_F19,3.9853339717313016e-05,Hardship,0.5081995357781208,apq_ku,0.006070478091487252,quant,0.04555780019818975,mfcc_sma[12]_iqr2-3_mean,0.00012878662112113
,,F71_affectby_F16,4.3687919494959865e-05,Past Concern,0.5163699099210584,BBEoff16_mean,0.006299028386449538,sad,0.06500872504106833,mfcc_sma[12]_linregc1_std,0.00013697152217748227
,,F59_affectby_F88,4.543625034264718e-05,Inspiration,0.5199972255810756,BBEoff7_ku,0.006717693308942633,article,0.06600111135611211,mfcc_sma[10]_min_min,0.00014038070884703725
,,F18_affectby_F16,4.60336275975228e-05,Variety,0.5368118241435484,DMFCCoff12_mean,0.008127866768135216,female,0.0680265625569575,pcm_zcr_sma_de_quartile2_mean,0.0001510928016527228
,,F14_affectby_F62,4.663844781091548e-05,Blame,0.7153650427989433,DMFCCoff9_mean,0.009047686344436477,netspeak,0.06803828291701267,F0_sma_linregc2_mean,0.00016657930032995668
,,F83_affectby_F21,4.977727431544503e-05,Motion,0.7174533773401783,mlogE,0.009374331819611049,relativ,0.07546266541597946,F0_sma_amean_mean,0.00017487047119667677
,,F79_affectby_F88,5.042861434467931e-05,Numerical Terms,0.8528824061104899,Shimmer_sk,0.009541566787249864,function,0.08881641698977055,mfcc_sma[9]_iqr2-3_mean,0.00017916013385791053
,,F81_affectby_F20,5.380829766020445e-05,Embellishment,0.8732290073059532,logE_mean,0.009711457013420301,friend,0.09645549797441012,F0env_sma_de_linregc1_min,0.00021721660340075883
,,F71_affectby_F15,5.450950245333129e-05,Exclusion,0.9011621586064426,BBEoff21_std,0.009971349340663368,insight,0.11338366933235737,mfcc_sma[10]_amean_min,0.00021983100188186741
,,F84_affectby_F88,6.201425143056526e-05,Unique Words,0.9020530811389617,MFCCon11_mean,0.01023741891985608,achieve,0.12047557765258973,F0env_sma_kurtosis_std,0.00024183522224753055
,,F59_affectby_F16,6.362817636644144e-05,Cognition,0.9951506552715943,MFCCoff2_ku,0.010418291696207985,reward,0.12303688427263282,mfcc_sma[10]_quartile1_min,0.0002476505124125757
,,F83_affectby_F16,6.871185047154575e-05,,,logE_ku,0.010694933597859307,cause,0.1241502660226708,mfcc_sma[2]_maxPos_std,0.00025967672566009183
,,F71_affectby_F88,7.139554847562028e-05,,,DMFCCoff1_std,0.011073942472035407,adj,0.13729858478033105,mfcc_sma_de[12]_quartile1_std,0.0002787467780850972
,,F21_affectby_F12,7.41781905889363e-05,,,MFCCon11_ku,0.01117053963674889,health,0.16057958906147435,mfcc_sma_de[9]_quartile3_std,0.00028876665901765645
,,F81_affectby_F88,7.41781905889363e-05,,,BBEon8_ku,0.012074149438455,conj,0.18723651306492844,mfcc_sma[9]_iqr1-2_std,0.0002921809243264301
,,F4_affectby_F6,9.198617059001366e-05,,,BBEoff8_sk,0.012178445688623037,risk,0.22084048416750462,mfcc_sma_de[12]_min_mean,0.0002956329766270549
,,F84_affectby_F16,9.315046386749606e-05,,,DMFCCoff3_ku,0.012821151686460806,focuspast,0.23839129462755587,lspFreq_sma[6]_skewness_min,0.00030086865312192274
,,F11_affectby_F19,9.672741308293026e-05,,,MFCCoff5_sk,0.012931139130715317,interrog,0.262167888016044,mfcc_sma[12]_linregerrA_mean,0.0003062197330580232
,,F21_affectby_F15,0.0001016987366650066,,,stddurs,0.0130419604753183,ingest,0.3036572671819931,mfcc_sma_de[9]_amean_min,0.0003098268288146605
,,F25_affectby_F11,0.00010297872659375611,,,BBEoff7_mean,0.0130419604753183,affect,0.3079723559112656,mfcc_sma_de[10]_quartile1_std,0.0003171606826277044
,,F14_affectby_F16,0.00010558445743333004,,,BBEoff9_sk,0.013266126055680292,shehe,0.3308534452534456,mfcc_sma[9]_quartile2_std,0.00032465679844419687
,,F33_affectby_F16,0.00010558445743333004,,,mF0,0.01349369105313076,unique,0.33617496862626833,mfcc_sma_de[11]_linregc1_max,0.00033231848333384925
,,F70_affectby_F68,0.00011237363815485001,,,MFCCon12_mean,0.01349369105313076,pronoun,0.3831491176582954,mfcc_sma_de[12]_quartile1_mean,0.00034014910504532426
,,F62_affectby_F11,0.00011664264418976967,,,MFCCoff1_sk,0.013724698486642333,verb,0.42595035592950603,F0_sma_minPos_mean,0.00034014910504532426
,,F67_affectby_F12,0.0001225729225953289,,,BBEoff22_std,0.013959191769741693,nonflu,0.4547484660255734,mfcc_sma_de[12]_iqr1-3_mean,0.00034412883645908263
,,F35_affectby_F67,0.00013364044018608092,,,US,0.014077759279772752,swear,0.5782577191007706,mfcc_sma[9]_quartile3_std,0.00034412883645908263
,,F17_affectby_F88,0.00013364044018608092,,,DMFCCoff1_sk,0.014438811518193677,posemo,0.5864905489938694,F0env_sma_de_iqr1-2_max,0.000352219313037162
,,F70_affectby_F67,0.00014038070884703725,,,BBEoff13_sk,0.015185493157743148,they,0.5875294428820843,mfcc_sma_de[12]_quartile3_mean,0.0003732304930442829
,,F88_affectby_F16,0.00014564466852976998,,,MFCCoff8_mean,0.015965969287121656,anx,0.6160893191863653,mfcc_sma[9]_amean_std,0.0003732304930442829
,,F70_affectby_F11,0.0001474402399963608,,,MFCCon9_ku,0.01792563326027679,sexual,0.6311552876183224,mfcc_sma_de[12]_stddev_mean,0.0003863937037126289
,,F79_affectby_F15,0.0001474402399963608,,,MFCCon1_std,0.018828030007900665,power,0.6333072105385618,mfcc_sma_de[12]_range_mean,0.000414031763236292
